Index,Player,Kills,Deaths,K/D,BP Rating,Slayer Rating,T.E.S,NTK%,Series Played,HP Kills,HP Deaths,HP K/D,HP K/10m,HP D/10m,HP A/10m,HP DMG/10m,HP Time/10m,HP ENG/10m,HP NTK%,HP Maps Played,SND Kills,SND Deaths,SND K/D,Plants,Defuses,SND OpD Won,SND OpD Lost,SND OpD W%,SND KpR,SND DpR,SND ApR,SND ADR,SND Clutches,SND NTK%,SND Maps Played,OVL Kills,OVL Deaths,OVL K/D,Overloads,OVL K/10m,OVL D/10m,OVL A/10m,OVL DMG/10m,OVL GOALS/10m,OVL ENG/10m,OVL NTK%,Ovl Maps Played
1,04,926,965,0.96,1.03,87.14,0.69,27.5%,13,544,549,0.99,26.00,26.24,10.71,3262,51.04,62.94,0,20,106,116,0.91,7,3,22,39,36.1%,0.64,0.70,0.23,95.15,2,61.3%,18,276,300,0.92,10,21.01,22.84,9.06,2740,0.76,52.91,68.8%,13
2,Abe,542,628,0.86,0.81,78.97,0.64,31.9%,9,289,331,0.87,22.41,25.67,8.76,2921,47.38,56.84,0,12,51,69,0.74,11,2,7,11,38.9%,0.59,0.80,0.24,92.24,0,68.6%,10,202,228,0.89,3,21.10,23.82,7.00,2696,0.31,51.92,68.3%,9
3,aBeZy,685,665,1.03,1.01,88.04,0.69,26.6%,10,381,354,1.08,24.38,22.65,9.40,2977,72.94,56.43,0,14,73,70,1.04,5,2,14,14,50.0%,0.72,0.69,0.25,97.54,0,58.9%,12,231,241,0.96,3,23.55,24.57,8.05,2898,0.31,56.17,60.2%,10
4,Abuzah,975,860,1.13,1.13,92.17,0.73,31.5%,13,537,501,1.07,25.67,23.94,10.66,3391,86.70,60.27,0,20,131,94,1.39,2,7,21,12,63.6%,0.79,0.57,0.24,114.58,3,67.9%,18,307,265,1.16,22,23.37,20.17,7.76,2952,1.67,51.31,71.0%,13
5,Afro,614,654,0.94,0.88,83.51,0.64,25.7%,8,375,385,0.97,24.69,25.35,8.56,2949,55.37,58.60,0,14,71,87,0.82,4,2,12,17,41.4%,0.62,0.76,0.23,93.49,1,54.9%,13,168,182,0.92,4,20.55,22.26,5.63,2528,0.49,48.43,70.8%,8
6,Beans,599,673,0.89,0.88,82.32,0.66,29.2%,8,341,399,0.85,22.45,26.27,10.14,3174,54.05,58.86,0,14,85,73,1.16,5,1,20,9,69.0%,0.74,0.63,0.11,101.63,2,69.4%,13,173,201,0.86,7,21.16,24.58,8.56,2988,0.86,54.30,67.1%,8
7,Cammy,669,706,0.95,0.97,84.90,0.69,23.6%,8,421,441,0.95,24.65,25.82,10.31,3247,70.15,60.78,0,16,57,75,0.76,2,3,11,7,61.1%,0.56,0.74,0.25,93.23,2,54.4%,12,191,190,1.01,4,23.30,23.18,8.91,3067,0.49,55.39,66.5%,8
8,Cellium,749,678,1.10,1.07,86.64,0.74,28.8%,10,457,422,1.08,24.40,22.53,10.09,3225,73.83,57.01,0,17,99,71,1.39,2,1,19,10,65.5%,0.86,0.62,0.30,134.53,1,67.7%,13,193,185,1.04,5,18.91,18.13,8.43,2639,0.49,45.46,77.2%,10
9,CleanX,681,720,0.95,0.96,88.56,0.68,28.8%,9,381,412,0.92,24.84,26.86,10.82,3289,58.68,62.52,0,15,80,99,0.81,3,2,17,16,51.5%,0.63,0.79,0.18,97.33,2,58.8%,13,220,209,1.05,7,24.92,23.67,9.97,3277,0.79,58.55,67.7%,9
10,Craze,683,760,0.90,0.93,88.04,0.66,26.1%,9,398,447,0.89,23.99,26.94,9.34,2973,50.03,60.27,0,16,83,76,1.09,7,6,20,15,57.1%,0.81,0.74,0.17,98.79,3,57.8%,11,202,237,0.85,2,22.33,26.20,9.95,2806,0.22,58.49,64.4%,9
