Team,KD,HP_Win_Percent,HP_KD,HP_Score,HP_PlusMinus,SND_Win_Percent,SND_KD,SND_Round_Wins,SND_PlusMinus,OVL_Win_Percent,OVL_KD,OVL_Round_Wins,OVL_Round_PlusMinus
FV,1.07,50.0,1.05,222.5,14.1,61.1,1.12,5.17,1.17,69.2,1.09,4.54,1.69
BOS,0.97,43.8,0.93,219.56,-1.75,41.7,0.91,3.75,-1.0,50.0,1.08,3.0,0.13
TOR,1.0,53.3,0.99,207.33,-5.2,30.8,0.92,4.46,-0.77,55.6,1.07,3.33,1.33
TX,1.02,58.8,0.98,224.24,19.71,57.1,1.05,4.79,0.57,66.7,1.06,3.25,0.67
RYD,1.03,47.1,1.01,220.24,-8.53,53.8,1.09,4.54,0.23,60.0,1.04,2.6,-0.1
MIA,1.04,52.9,1.07,216.29,-10.29,50.0,1.04,4.86,0.07,50.0,0.99,2.5,-0.5
CAR,0.98,37.5,0.98,206.69,-14.5,63.6,0.95,4.64,-0.09,44.4,0.99,3.0,-0.44
LAT,1.0,42.9,1.0,224.93,2.21,50.0,1.02,4.58,0.67,50.0,0.99,3.5,0.4
M8,1.04,75.0,1.07,237.85,53.4,61.1,1.08,4.67,0.67,38.5,0.97,2.62,-0.31
MIN,0.99,61.1,1.01,220.94,-4.44,50.0,1.02,4.56,0.19,45.5,0.93,2.18,-0.55
VAN,0.91,16.7,0.92,199.33,-41.75,20.0,0.83,3.5,-1.6,33.3,0.92,2.44,-1.11
C9NY,0.91,42.9,0.93,202.14,-34.07,46.2,0.88,3.77,-1.31,25.0,0.87,2.13,-2.13
